section,metric,condition,n,mean,sd,median,ci95_lo,ci95_hi
RQ1,Trust,C1,13,4.31,1.8,4.0,3.22,5.39
RQ1,Trust,C2,13,5.0,1.53,5.0,4.08,5.92
RQ1,Trust,C3,13,5.85,1.07,6.0,5.2,6.49
RQ1,Control,C1,13,3.15,2.15,2.0,1.85,4.46
RQ1,Control,C2,13,5.38,1.39,6.0,4.55,6.22
RQ1,Control,C3,13,5.69,1.18,5.0,4.98,6.41
RQ1,Satisfaction,C1,13,4.38,2.4,5.0,2.93,5.83
RQ1,Satisfaction,C2,13,3.92,1.12,4.0,3.25,4.6
RQ1,Satisfaction,C3,13,5.85,1.14,6.0,5.16,6.54
RQ1,Expect,C1,13,4.23,1.79,5.0,3.15,5.31
RQ1,Expect,C2,13,4.77,1.17,5.0,4.06,5.47
RQ1,Expect,C3,13,6.0,0.91,6.0,5.45,6.55
RQ1,Repair,C1,13,3.31,2.25,3.0,1.95,4.67
RQ1,Repair,C2,13,3.85,1.72,4.0,2.8,4.89
RQ1,Repair,C3,13,4.92,1.26,5.0,4.16,5.68
RQ1,Explain,C1,13,4.38,1.76,4.0,3.32,5.45
RQ1,Explain,C2,13,5.46,1.27,5.0,4.7,6.23
RQ1,Explain,C3,13,6.0,1.29,7.0,5.22,6.78
RQ1,Privacy,C1,13,4.0,2.27,4.0,2.63,5.37
RQ1,Privacy,C2,13,5.23,1.36,5.0,4.41,6.05
RQ1,Privacy,C3,13,5.46,1.51,6.0,4.55,6.37
RQ2,SEQ,text,13,4.15,2.08,4.0,2.9,5.41
RQ2,TLX_composite,text,13,4.24,0.61,4.17,3.87,4.61
RQ2,TLX_Mental,text,13,5.46,2.73,6.0,3.81,7.11
RQ2,TLX_Physical,text,13,1.85,0.99,1.0,1.25,2.44
RQ2,TLX_Temporal,text,13,2.62,1.5,3.0,1.71,3.52
RQ2,TLX_Performance,text,13,7.31,1.55,8.0,6.37,8.24
RQ2,TLX_Effort,text,13,3.69,1.93,4.0,2.53,4.86
RQ2,TLX_Frustration,text,13,4.54,1.71,4.0,3.5,5.57
RQ2,natural,text,13,4.23,1.17,4.0,3.53,4.94
RQ2,public,text,13,4.0,1.68,4.0,2.98,5.02
RQ2,SEQ,image,13,4.46,2.15,4.0,3.17,5.76
RQ2,TLX_composite,image,13,4.13,0.94,4.17,3.56,4.7
RQ2,TLX_Mental,image,13,5.69,3.04,6.0,3.86,7.53
RQ2,TLX_Physical,image,13,1.85,0.9,2.0,1.3,2.39
RQ2,TLX_Temporal,image,13,2.85,1.72,3.0,1.8,3.89
RQ2,TLX_Performance,image,13,6.62,1.56,7.0,5.67,7.56
RQ2,TLX_Effort,image,13,4.23,2.17,4.0,2.92,5.54
RQ2,TLX_Frustration,image,13,3.54,1.61,3.0,2.56,4.51
RQ2,natural,image,13,4.92,1.75,6.0,3.86,5.98
RQ2,public,image,13,3.31,1.44,3.0,2.44,4.18
RQ2,SEQ,voice,13,5.38,1.71,6.0,4.35,6.42
RQ2,TLX_composite,voice,13,4.58,0.64,5.0,4.19,4.96
RQ2,TLX_Mental,voice,13,5.62,2.69,6.0,3.99,7.24
RQ2,TLX_Physical,voice,13,2.0,0.82,2.0,1.51,2.49
RQ2,TLX_Temporal,voice,13,5.0,1.68,6.0,3.98,6.02
RQ2,TLX_Performance,voice,13,5.85,2.23,6.0,4.5,7.19
RQ2,TLX_Effort,voice,13,5.62,1.89,7.0,4.47,6.76
RQ2,TLX_Frustration,voice,13,3.38,2.22,3.0,2.04,4.73
RQ2,natural,voice,13,4.08,2.06,4.0,2.83,5.32
RQ2,public,voice,13,2.77,1.36,3.0,1.95,3.59
RQ3,Discoverability,—,13,3.77,1.64,4.0,2.78,4.76
RQ3,Mental Model,—,13,4.54,1.85,5.0,3.42,5.66
RQ3,Effectiveness,—,13,5.23,1.42,5.0,4.37,6.09
RQ3,Controllability,—,13,5.69,1.03,6.0,5.07,6.32
RQ3,Ownership,—,13,4.85,1.14,5.0,4.16,5.54
RQ3,Adoption,—,13,4.23,1.54,5.0,3.3,5.16
Overall,Overall Trust,—,13,5.08,1.44,5.0,4.21,5.95
Overall,Privacy,—,13,4.31,1.32,4.0,3.51,5.1
Overall,Adoption Intent,—,13,5.0,2.0,5.0,3.79,6.21
